'CNPJ';'Outlet';'Cidade';'2017/09';'2017/10';'2017/11';'Total Geral'
63960018148;'DROGARIA WAL MART';'FRANCA';2;6;7;15
63960018733;'DROGARIA WAL MART';'GRAVATAI';1;;;1
63960018814;'DROGARIA WAL MART';'CAXIAS DO SUL';;3;;3
63960019110;'DROGARIA WAL MART';'BENTO GONCALVES';2;2;;4
63960019896;'DROGARIA WAL MART';'CAMARAGIBE';;2;;2
63960020126;'DROGARIA WAL MART';'OLINDA';2;5;3;9
63960020550;'DROGARIA WAL MART';'OLINDA';;;1;1
63960020630;'DROGARIA WAL MART';'RECIFE';6;1;;7
63960020711;'DROGARIA WAL MART';'RECIFE';2;6;;8
63960020800;'DROGARIA WAL MART';'RECIFE';5;4;;9
63960020983;'DROGARIA WAL MART';'RECIFE';3;8;;11
63960021017;'DROGARIA WAL MART';'RECIFE';1;1;;2
63960021106;'DROGARIA WAL MART';'RECIFE';3;4;;7
63960021289;'DROGARIA WAL MART';'RECIFE';1;2;;3
63960021360;'DROGARIA WAL MART';'RECIFE';2;1;;3
63960021440;'DROGARIA WAL MART';'SAO JOSE DOS CAMPOS';2;1;;3
63960021521;'DROGARIA WAL MART';'ITU';4;2;;6
63960021874;'DROGARIA WAL MART';'PORTO ALEGRE';4;;;4
63960022412;'DROGARIA WAL MART';'BRASILIA';3;8;;10
63960022765;'DROGARIA WAL MART';'UBERABA';11;8;3;22
63960023060;'DROGARIA WAL MART';'NOVO HAMBURGO';2;1;;3
63960023141;'DROGARIA WAL MART';'UBERLANDIA';5;;;5
63960023222;'DROGARIA WAL MART';'SANTA MARIA';2;3;;5
63960023737;'DROGARIA WAL MART';'PRESIDENTE PRUDENTE';6;;;6
63960024113;'DROGARIA WAL MART';'MOGI GUACU';7;6;2;14
63960025519;'DROGARIA WAL MART';'BAURU';1;2;;3
63960026248;'DROGARIA WAL MART';'JOAO PESSOA';2;;;2
63960026329;'DROGARIA WAL MART';'JOAO PESSOA';0;;;0
63960026590;'DROGARIA WAL MART';'JOAO PESSOA';3;2;2;7
63960028615;'DROGARIA WAL MART';'SAPIRANGA';;2;;2
63960028704;'DROGARIA WAL MART';'TERESINA';3;;;3
63960028887;'DROGARIA WAL MART';'TERESINA';3;1;;4
63960029778;'DROGARIA WAL MART';'SAO BERNARDO DO CAMPO';;1;;1
63960030008;'DROGARIA WAL MART';'ARACAJU';3;1;;4
63960030431;'DROGARIA WAL MART';'ARACAJU';9;;;9
63960030512;'DROGARIA WAL MART';'ARACAJU';3;4;;7
63960030601;'DROGARIA WAL MART';'ARACAJU';5;4;;9
63960031080;'DROGARIA WAL MART';'PROPRIA';2;3;;5
63960031837;'DROGARIA WAL MART';'JACAREI';;2;;2
63960032051;'DROGARIA WAL MART';'LAPA';2;2;;4
63960034852;'DROGARIA WAL MART';'CAMPINAS';4;6;;10
63960034933;'DROGARIA WAL MART';'CAMPINAS';;1;;1
63960035409;'DROGARIA WAL MART';'FORTALEZA';3;3;;6
63960037444;'DROGARIA WAL MART';'GUARULHOS';1;8;;9
63960037606;'DROGARIA WAL MART';'BELO HORIZONTE';1;2;;3
63960038688;'DROGARIA WAL MART';'VOLTA REDONDA';2;2;;4
63960038769;'DROGARIA WAL MART';'FORTALEZA';1;2;;3
63960039498;'DROGARIA WAL MART';'CANDEIAS';2;3;1;5
63960039811;'DROGARIA WAL MART';'JABOATAO DOS GUARARAPES';2;1;;3
63960039900;'DROGARIA WAL MART';'PAULISTA';2;4;;6
63960040070;'DROGARIA WAL MART';'PAULISTA';7;2;;9
63960041123;'DROGARIA WAL MART';'CATANDUVA';7;1;;8
63960042600;'DROGARIA WAL MART';'MACEIO';6;6;2;14
63960042790;'DROGARIA WAL MART';'JOINVILLE';3;4;;7
63960043096;'DROGARIA WAL MART';'PAULISTA';2;;;2
63960043177;'DROGARIA WAL MART';'CURITIBA';2;3;;5
63960043410;'DROGARIA WAL MART';'NOVO HAMBURGO';4;1;;5
63960043509;'DROGARIA WAL MART';'JABOATAO DOS GUARARAPES';;3;;3
63960043762;'DROGARIA WAL MART';'SANTO ANDRE';;5;;5
63960043843;'DROGARIA WAL MART';'RECIFE';4;1;2;6
63960044068;'DROGARIA WAL MART';'ABREU E LIMA';1;1;;2
63960044300;'DROGARIA WAL MART';'INDAIATUBA';3;3;;6
63960044491;'DROGARIA WAL MART';'CAMPO BOM';1;;;1
63960044572;'DROGARIA WAL MART';'TAUBATE';3;;;3
63960044734;'DROGARIA WAL MART';'PORTO ALEGRE';2;1;;2
63960044815;'DROGARIA WAL MART';'CURITIBA';1;;1;2
63960045110;'DROGARIA WAL MART';'SANTA MARIA';1;6;2;9
63960046192;'DROGARIA WAL MART';'NATAL';5;4;;9
63960046354;'DROGARIA WAL MART';'SALVADOR';3;4;;7
63960046435;'DROGARIA WAL MART';'SALVADOR';2;;;2
63960046516;'DROGARIA WAL MART';'SALVADOR';1;3;;3
63960046605;'DROGARIA WAL MART';'SALVADOR';3;;;3
63960046869;'DROGARIA WAL MART';'SALVADOR';;2;;2
63960046940;'DROGARIA WAL MART';'SALVADOR';1;0;;1
63960047083;'DROGARIA WAL MART';'SALVADOR';2;4;;6
63960047164;'DROGARIA WAL MART';'SALVADOR';1;3;;4
63960047245;'DROGARIA WAL MART';'NATAL';7;9;2;18
63960047326;'DROGARIA WAL MART';'MACEIO';6;;;6
63960047598;'DROGARIA WAL MART';'MACEIO';9;4;;13
63960047679;'DROGARIA WAL MART';'MACEIO';8;17;;25
63960047750;'DROGARIA WAL MART';'MACEIO';1;7;;8
63960047830;'DROGARIA WAL MART';'MACEIO';3;1;;4
63960048136;'DROGARIA WAL MART';'JABOATAO DOS GUARARAPES';1;;;1
63960048217;'DROGARIA WAL MART';'FORTALEZA';;1;;1
63960048306;'DROGARIA WAL MART';'FORTALEZA';3;4;;7
63960048640;'DROGARIA WAL MART';'CAMPINA GRANDE';;;1;1
63960048993;'DROGARIA WAL MART';'PETROLINA';;2;;2
63960049027;'DROGARIA WAL MART';'CARUARU';;3;2;5
63960049108;'DROGARIA WAL MART';'RECIFE';4;5;;9
63960049370;'DROGARIA WAL MART';'RECIFE';4;11;;15
63960049450;'DROGARIA WAL MART';'RECIFE';2;4;;6
63960049612;'DROGARIA WAL MART';'MACEIO';3;;;3
63960049701;'DROGARIA WAL MART';'TERESINA';1;2;;3
63960049884;'DROGARIA WAL MART';'JABOATAO DOS GUARARAPES';1;;;1
63960049965;'DROGARIA WAL MART';'RECIFE';7;4;2;13
63960050033;'DROGARIA WAL MART';'SAO LUIS';3;2;;5
63960050203;'DROGARIA WAL MART';'SAO LUIS';3;3;;6
63960050386;'DROGARIA WAL MART';'SAO LUIS';1;2;;3
63960050467;'DROGARIA WAL MART';'CAMPINA GRANDE';2;1;;3
63960050548;'DROGARIA WAL MART';'IGARASSU';2;3;;5
63960050700;'DROGARIA WAL MART';'SAO LUIS';2;;;2
63960050890;'DROGARIA WAL MART';'JABOATAO DOS GUARARAPES';1;5;;6
63960051277;'DROGARIA WAL MART';'SAO LOURENCO DA MATA';;4;;4
63960051358;'DROGARIA WAL MART';'SALVADOR';1;1;;2
63960051439;'DROGARIA WAL MART';'SALVADOR';6;12;1;19
63960051510;'DROGARIA WAL MART';'SALVADOR';11;4;;14
63960051609;'DROGARIA WAL MART';'SALVADOR';;2;;2
63960051781;'DROGARIA WAL MART';'SALVADOR';1;3;;4
63960051862;'DROGARIA WAL MART';'FEIRA DE SANTANA';2;4;;6
63960052168;'DROGARIA WAL MART';'SALVADOR';1;;;1
63960052249;'DROGARIA WAL MART';'CAMACARI';1;;;1
63960052400;'DROGARIA WAL MART';'DIAS DAVILA';2;;;2
63960052591;'DROGARIA WAL MART';'SALVADOR';;4;;4
63960052672;'DROGARIA WAL MART';'SALVADOR';1;;;1
63960052753;'DROGARIA WAL MART';'SANTO AMARO';8;2;;10
63960052915;'DROGARIA WAL MART';'SALVADOR';1;5;;6
63960053059;'DROGARIA WAL MART';'SALVADOR';8;;;8
63960053210;'DROGARIA WAL MART';'POJUCA';1;4;;5
63960053300;'DROGARIA WAL MART';'SIMOES FILHO';;2;1;3
63960053725;'DROGARIA WAL MART';'SALVADOR';2;3;;4
63960053806;'DROGARIA WAL MART';'SALVADOR';1;6;1;8
63960053997;'DROGARIA WAL MART';'SALVADOR';;1;;1
63960054020;'DROGARIA WAL MART';'SALVADOR';2;4;;6
63960054101;'DROGARIA WAL MART';'SALVADOR';4;4;1;9
63960054292;'DROGARIA WAL MART';'LAURO DE FREITAS';2;1;;3
63960054373;'DROGARIA WAL MART';'SALVADOR';2;3;;5
63960054454;'DROGARIA WAL MART';'ITAPARICA';3;1;;4
63960054535;'DROGARIA WAL MART';'SALVADOR';2;5;1;8
63960054616;'DROGARIA WAL MART';'SALVADOR';1;9;;10
63960054705;'DROGARIA WAL MART';'ITABUNA';2;1;;3
63960055000;'DROGARIA WAL MART';'SALVADOR';;2;;2
63960055183;'DROGARIA WAL MART';'VITORIA DA CONQUISTA';4;;;4
63960055264;'DROGARIA WAL MART';'SALVADOR';1;2;;3
63960055426;'DROGARIA WAL MART';'SALVADOR';2;;1;3
63960055698;'DROGARIA WAL MART';'SALVADOR';3;;;3
71497000139;'DROGARIA TANGUAENSE';'TANGUA';;0;;0
72185000140;'FARMACIAS MEDFAR';'TRES PASSOS';2;3;;5
73196000144;'COOPERFARMA';'FOZ DO IGUACU';1;;;1
80520000151;'FARMACIA MORAES';'CONCEICAO DO COITE';1;;;1
82543000103;'FCIA VILLA JOLA LTDA';'BELFORD ROXO';3;2;;5
83407000120;'JOSE SERGIO CARVALHO E CI';'SAO JOSE DO GOIABAL';4;;;4
84348000104;'FARMACIA ESTANCIA';'ESTANCIA VELHA';5;2;;7
86309000146;'FCIA FARMANOVA';'AGUA CLARA';1;;;1
86514000101;'FARMACIA LETICIA';'ITAPECURU MIRIM';;1;;1
87125000109;'FARMACIA N. S. APARECIDA';'LAVRAS DA MANGABEIRA';;1;;1
89329000170;'FCIA DO POVO DE BOM JESUS';'BOM JARDIM';;1;;1
89872000178;'FCIA.DIAS LTDA.ME.';'BLUMENAU';1;;;1
90786000266;'DROGA MAX';'TANGARA DA SERRA';2;;;2
92929000198;'PRONEP';'RIO DE JANEIRO';5;11;1;17
94371000260;'DROGA JUNIOR';'SANTA MARIA';1;2;;3
99436000180;'FCIA CENTRAL';'ROLANDIA';;2;;2
100000000000;'DROG JAURU';'CUIABA';3;4;;7
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';41;66;12;119
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';2.601;2.400;;5.001
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';38;57;8;103
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';66;65;18;149
100000000000;'DROGARIA GALANTI';'PETROPOLIS';74;79;19;171
100000000000;'DROGARIA GALANTI';'PETROPOLIS';;0;1;1
100000000000;'DROGARIA GALANTI';'NILOPOLIS';151;163;21;335
100000000000;'DROGARIA GALANTI';'NILOPOLIS';0;1;0;1
100000000000;'DROGARIA GALANTI';'PETROPOLIS';68;91;15;174
100000000000;'DROGARIA GALANTI';'PETROPOLIS';1;;;1
100000000000;'DROGARIA GALANTI';'SAO GONCALO';104;103;14;220
100000000000;'DROGARIA GALANTI';'SAO GONCALO';;0;;0
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';165;127;16;307
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';;1;;1
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';141;207;16;364
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';;0;;0
100000000000;'DROGARIA GALANTI';'DUQUE DE CAXIAS';88;111;21;220
100000000000;'DROGARIA GALANTI';'DUQUE DE CAXIAS';;0;;0
100000000000;'DROGARIA GALANTI';'SAO JOAO DE MERITI';58;50;13;120
100000000000;'DROGARIA GALANTI';'SAO JOAO DE MERITI';0;0;;1
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';97;108;6;211
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';97;99;15;211
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';0;1;;1
100000000000;'DROGARIA GALANTI';'NILOPOLIS';121;108;17;246
100000000000;'DROGARIA GALANTI';'NILOPOLIS';0;1;;1
100000000000;'DROGARIA GALANTI';'PETROPOLIS';99;148;21;268
100000000000;'DROGARIA GALANTI';'PETROPOLIS';0;0;;1
100000000000;'DROGARIA GALANTI';'DUQUE DE CAXIAS';43;62;13;117
100000000000;'DROGARIA GALANTI';'DUQUE DE CAXIAS';;1;;1
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';226;249;35;510
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';18;;;18
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';49;61;8;118
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';;0;;0
100000000000;'DROGARIA GALANTI';'QUEIMADOS';46;46;9;101
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';43;55;4;101
100000000000;'DROGARIA GALANTI';'NOVA IGUACU';0;0;;1
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';59;64;16;139
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';0;;;0
100000000000;'DROGARIA GALANTI';'PETROPOLIS';75;82;12;168
100000000000;'DROGARIA GALANTI';'VOLTA REDONDA';63;51;10;124
100000000000;'DROGARIA GALANTI';'VOLTA REDONDA';;;0;0
100000000000;'DROGARIA GALANTI';'BELFORD ROXO';69;69;8;146
100000000000;'DROGARIA GALANTI';'BELFORD ROXO';1;1;;2
100000000000;'DROGARIA GALANTI';'NITEROI';30;35;1;65
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';145;152;14;311
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';;0;;0
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';110;133;9;252
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';;0;;0
100000000000;'DROGARIA GALANTI';'RIO DE JANEIRO';42;27;5;74
103000000000;'CLEUZA DE GOIS PORTILHO';'JOVIANIA';;2;1;2
105000000000;'FCIA ITAIPUASSU';'MARICA';1;1;;2
107000000000;'DROG FAX DA FREGUESIA';'RIO DE JANEIRO';2;2;;4
108000000000;'DROGAMAXX';'VALINHOS';2;4;2;7
108000000000;'DROGAMAXX';'VALINHOS';3;5;;8
110000000000;'FCIA SAO JOAO BATISTA';'SAO JOAO DO ITAPERIU';5;2;;7
110000000000;'DROG ALVORADA DE JAU LTDA';'JAU';3;2;;5
113000000000;'DROG. DROGAMED DE AMERICA';'AMERICANA';1;;;1
115000000000;'FARMACIA SAO FRANCISCO';'RIACHO DE SANTANA';1;2;;3
116000000000;'DROG MARMONPEL';'ASSIS';2;1;;3
117000000000;'FARMACIA SALES';'INDEPENDENCIA';1;;;1
117000000000;'MARCO ANTONIO SINEGAGLIA';'BARIRI';8;4;3;15
120000000000;'FARMACIA E DROGARIA MOREIRA II';'JARAGUA';1;;;1
120000000000;'FCIA FERREIRA';'CAMPO LARGO';2;;;2
121000000000;'FARM MADONA APARECIDA LTD';'RIO DE JANEIRO';;1;;1
125000000000;'DROGA RUDGE';'SAO PAULO';;1;;1
129000000000;'FARMACIA CORDEIRO';'OURICURI';10;1;;11
133000000000;'DROG MODELO';'INHUMAS';1;4;;5
135000000000;'FCIA BELO VALE';'BELO VALE';1;;;1
135000000000;'DROGARIA SAO SEBASTIAO';'RIO VERDE';;2;;2
136000000000;'FARMACIA SAO THIAGO';'POCO REDONDO';1;2;;3
138000000000;'DROG VILA GOIS LTDA';'ANAPOLIS';;3;;3
139000000000;'LUZELENE DE PAULO VIEIRA';'IPAPORANGA';;1;;1
140000000000;'DROG YAYA LTDA';'GUARULHOS';;1;;1
143000000000;'DROGARIA SAO FRANCISCO DE DOBRADA';'DOBRADA';1;2;;3
143000000000;'FARMAGUENO DROG.LTDA.';'RIO BRANCO DO SUL';;1;1;2
145000000000;'DROG XV DE AGOSTO';'VALENCA';1;1;;2
150000000000;'DROG TORRES';'ITABIRITO';2;1;;3
150000000000;'DROGARIA INTENDENTE';'RIO DE JANEIRO';3;8;;11
152000000000;'FCIA GOIANESIA';'GOIANESIA';1;;;1
153000000000;'MOTUPHARMA';'MOTUCA';;3;;3
154000000000;'FCIA SANTA ROSA';'SANTA CRUZ DO RIO PARDO';1;;;1
155000000000;'FARMACIA SANTA TEREZA';'IBITINGA';6;6;;12
155000000000;'FARMACIA NOVA ORLEANS DE JACAREPAGUA';'RIO DE JANEIRO';;1;1;2
157000000000;'FARMACIAS CONFIANCA';'GETULIO VARGAS';1;1;;2
157000000000;'FARMACIAS CONFIANCA';'GETULIO VARGAS';1;;;1
157000000000;'FARMACIAS CONFIANCA';'GETULIO VARGAS';1;;;1
157000000000;'FARMACIAS CONFIANCA';'ESTACAO';1;;;1
157000000000;'DROGARIA MAXFARMA';'NOVA RUSSAS';1;;;1
158000000000;'DROG ALVORADA';'BAURU';0;;;0
158000000000;'DROGARIA LUCAS';'GRAJAU';2;2;;3
159000000000;'FARMACIA RIBEIRO LTDA';'SAO LUIS';;1;;1
159000000000;'FCIA MARTINI';'TELEMACO BORBA';;1;;1
161000000000;'DROG CENTENARIO';'JUNDIAI';;1;;1
166000000000;'DROG SEGATTO';'PORTO FELIZ';3;2;;5
166000000000;'DROGA SOL';'MAIRIPORA';;1;;1
169000000000;'DROG PAES BORGES';'RIO DE JANEIRO';30;25;5;59
172000000000;'REDE MAXXI ECONOMICA';'CANOAS';;1;;1
172000000000;'REDE MAXXI ECONOMICA';'CANOAS';2;;;2
172000000000;'REDE MAXXI ECONOMICA';'PORTO ALEGRE';1;;;1
172000000000;'REDE MAXXI ECONOMICA';'PORTO ALEGRE';;2;;2
172000000000;'REDE MAXXI ECONOMICA';'SANTA CRUZ DO SUL';2;8;;10
172000000000;'REDE MAXXI ECONOMICA';'SANTA CRUZ DO SUL';3;8;;11
172000000000;'REDE MAXXI ECONOMICA';'BENTO GONCALVES';3;;;3
172000000000;'REDE MAXXI ECONOMICA';'BENTO GONCALVES';3;3;;6
172000000000;'REDE MAXXI ECONOMICA';'PELOTAS';1;1;;2
172000000000;'REDE MAXXI ECONOMICA';'PELOTAS';1;1;1;3
172000000000;'REDE MAXXI ECONOMICA';'BENTO GONCALVES';1;;;1
172000000000;'REDE MAXXI ECONOMICA';'BENTO GONCALVES';1;;;1
172000000000;'REDE MAXXI ECONOMICA';'SANTA CRUZ DO SUL';;1;;1
172000000000;'REDE MAXXI ECONOMICA';'LAJEADO';1;;;1
172000000000;'REDE MAXXI ECONOMICA';'LAJEADO';3;2;;5
172000000000;'REDE MAXXI ECONOMICA';'LAJEADO';1;1;;2
172000000000;'REDE MAXXI ECONOMICA';'LAJEADO';1;1;;2
172000000000;'REDE MAXXI ECONOMICA';'BENTO GONCALVES';;1;;1
172000000000;'REDE MAXXI ECONOMICA';'GUAIBA';;6;;6
172000000000;'REDE MAXXI ECONOMICA';'GUAIBA';;6;;6
172000000000;'REDE MAXXI ECONOMICA';'NOVO HAMBURGO';;1;;1
172000000000;'REDE MAXXI ECONOMICA';'NOVO HAMBURGO';;1;;1
172000000000;'REDE MAXXI ECONOMICA';'CANOAS';;2;;2
173000000000;'DROG SHALON';'INDIARA';;2;;2
175000000000;'REDE DROGADADA';'BARRETOS';54;43;;97
177000000000;'CITYFARMA';'CACHOEIRAS DE MACACU';3;;;3
179000000000;'FCIA MARCOS ANTONIO ALVES';'IEPE';2;1;;3
186000000000;'FARMACIA PLANTAO';'SALVADOR';1;1;;2
186000000000;'DROGACENTER';'TABAPUA';1;;;1
187000000000;'DROGARIA DOM BOSCO';'URUACU';1;;;1
189000000000;'FARMACIA SANTA TERESINHA';'PORTO UNIAO';;1;;1
192000000000;'DROMAXI II';'BELO HORIZONTE';;1;;1
193000000000;'DROG. LIDER DE INHAUMA LT';'RIO DE JANEIRO';;6;;6
194000000000;'FARMACIA NAKAYAMA LTDA';'CAARAPO';1;;;1
195000000000;'DROG LIDER DE BONSUCESSO';'RIO DE JANEIRO';18;3;;21
199000000000;'DROG SAO MARCOS';'GOIANIRA';1;;;1
200000000000;'FCOA ODEON';'TRES LAGOAS';7;2;;9
200000000000;'FARMACIA ODEON';'TRES LAGOAS';;1;;1
200000000000;'FARMACIA ODEON';'TRES LAGOAS';1;2;1;4
200000000000;'FARMACIA ODEON';'TRES LAGOAS';1;6;;7
204000000000;'DROGARIA ELISA';'ITABIRITO';2;12;;14
204000000000;'DROG SABRINA';'SETE BARRAS';0;;;0
205000000000;'NOSSA FARMA';'CARMOPOLIS';1;1;;2
206000000000;'DROG PAINEIRAS';'GARCA';1;1;;2
206000000000;'RENI FARMACIAS';'SANTA MARIA';1;;;1
210000000000;'CITYFARMA';'RIO DE JANEIRO';1;2;;3
212000000000;'DROGARIA ATUAL';'BELFORD ROXO';;1;;1
213000000000;'DROG SAO JOSE';'PORANGABA';;3;;3
215000000000;'DROGARIA PEIXOTO';'RIO DE JANEIRO';1;;1;1
215000000000;'DROGARIA PEIXOTO';'RIO DE JANEIRO';2;;;2
218000000000;'SANAR';'PORTO ALEGRE';;1;1;2
218000000000;'FARMACIA DORIVAL';'PIRATININGA';3;2;;5
222000000000;'FARMACIA MODELO';'VITORIA DE SANTO ANTAO';;3;;3
225000000000;'FCIA BOA SAUDE';'PALMEIROPOLIS';1;;;1
229000000000;'DROGARIA SAO CARLOS';'CABRALIA PAULISTA';1;1;;2
231000000000;'DROG SIDARTA I';'CAMPINAS';3;1;;4
231000000000;'DROG MARPE';'SAO CARLOS';;1;;1
232000000000;'OPHTALMED FARMACIA OFTALMOLOGICA';'PORTO ALEGRE';2;;;2
232000000000;'OPHTALMED FARMACIA OFTALMOLOGICA';'PORTO ALEGRE';2;;;2
233000000000;'DROGARIA NOSSA SENHORA APARECIDA';'QUATA';;1;;1
233000000000;'FARMACIA HOM RAINHA DO ITAIM';'SAO PAULO';;1;;1
236000000000;'FCIA GAFEDIMA';'RIO DE JANEIRO';;1;;1
236000000000;'DISTR CIRURGICA ASSIS';'GARANHUNS';;2;;2
236000000000;'POSTO DE MEDICAMENTOS GON';'CAMPO ALEGRE';1;1;;1
238000000000;'DROGARIA DO BECO';'TRINDADE';4;3;3;10
239000000000;'FCIA AVENIDA';'IBIPORA';1;3;;3
240000000000;'FCIA POPULAR';'FAXINAL';1;;;1
240000000000;'FCIA O TOUREIRO';'PARNAIBA';;1;;1
240000000000;'DROG AUREA LTDA-ME';'SAO PAULO';52;20;;72
245000000000;'DROG MUNDIAL PROD FARM';'SENADOR CANEDO';;1;;1
245000000000;'DROG ROVIGO';'POMPEIA';1;;;1
246000000000;'DINAMICA FARMACIA IPASGO';'GOIANIA';10;23;;33
254000000000;'FARMACIA NUNES';'SANTA MARIA DA BOA VISTA';4;;;4
254000000000;'FARMACIA NUNES';'PETROLINA';1;1;;2
262000000000;'GLAIDTON ALVES FERREIRA';'JOVIANIA';;2;;2
262000000000;'FARMCIA UNIMED';'ADAMANTINA';;2;;2
263000000000;'FARMACIA NOSSA SENHORA APARECIDA';'ITABERAI';25;19;;44
268000000000;'DROG SAO JOSE';'NOVA ERA';2;;;2
269000000000;'FARMACIA SAO LUIZ';'CAMPINA GRANDE';;6;;6
271000000000;'DROG SANTA TEREZINHA';'ARARAQUARA';1;;;1
274000000000;'FARMACIA GESUNDHEIT';'LINDOLFO COLLOR';3;2;1;5
276000000000;'FCIA JARDIM';'CACONDE';2;4;1;7
277000000000;'DROGARIA VIDA E SAUDE';'PONTO NOVO';1;;;1
278000000000;'DROG CENTRAL';'ITATINGA';1;;;1
278000000000;'FARMACIA BOM JESUS';'MARECHAL DEODORO';;;1;1
280000000000;'DROG SAO PAULO LTDA';'SAO LUIS DE MONTES BELOS';4;;;4
281000000000;'FCIA FARMA FORMA';'MORUNGABA';1;;;1
282000000000;'FARMACIA SANTA CRUZ';'LIMOEIRO DE ANADIA';;1;;1
285000000000;'FARMACIA POPULAR';'OLHO DAGUA DO CASADO';;1;;1
286000000000;'DROGARIA VENANCIO';'RIO DE JANEIRO';205;221;30;456
